verb__plain_form,verb__reading,style_code,form,reading,is_irregular,note_vi,display_order
受け取る,,kenjo,賜る,たまわる,false,,69
利用する,,sonkei,ご利用になる,,true,,70
利用する,,sonkei,利用なさる,,false,,71
利用する,,kenjo,利用させていただく,,false,,72
思う,,sonkei,お思いになる,,false,,73
思う,,sonkei,おぼし召す,,false,,74
思う,,kenjo2,存じる,,true,,75
思う,,kenjo,拝察する,,false,,76
買う,,sonkei,お(買い)求めになる,,false,,77
買う,,sonkei,お買い(上げ)になる,,false,,78
買う,,sonkei,ご購入になる,,false,,79
買う,,kenjo,買わせていただく,,false,,80
考える,,sonkei,お考えになる,,false,,81
考える,,sonkei,ご高察なさる,,false,,82
考える,,sonkei,ご高察くださる,,false,,83
考える,,kenjo,拝察する,,false,,84
考える,,kenjo,愚考する,,false,,85
考える,,kenjo,検討する,,false,,86
待つ,,sonkei,お待ちになる,,false,,87
待つ,,kenjo,お待ちする,,false,,88
帰る,,sonkei,お帰りになる,,false,,89
帰る,,sonkei,帰られる,,false,,90
帰る,,kenjo,失礼する,,false,,91
与える,,sonkei,お与えになる,,false,,92
与える,,kenjo,差し上げる,,false,,93
もらう,,sonkei,お受け取りになる,,false,,94
もらう,,sonkei,お納めになる,,false,,95
もらう,,kenjo1,いただく,,true,,96
もらう,,kenjo,頂戴する,,false,,97
もらう,,kenjo,賜る,たまわる,false,,98
気に入る,,sonkei,お気に召す,,false,,99
風邪を引く,,sonkei,お風邪を召す,,false,,100
風呂にはいる,,sonkei,お風呂に召す,,false,,101
年をとる,,sonkei,お年を召す,,false,,102
着る,,sonkei,召す,,false,,103
着る,,sonkei,着られる,,false,,104
着る,,sonkei,お召しになる,,true,,105
着る,,kenjo,着させていただく,,false,,106
着る,,kenjo,身につけさせていただく,,false,,107
確認する,,sonkei,確認なさる,,false,,108
確認する,,sonkei,確認される,,false,,109
確認する,,sonkei,ご確認くださる,,false,,110
確認する,,kenjo,確認いたす,,false,,111
借りる,,sonkei,お借りになる,,false,,112
借りる,,sonkei,借りられる,,false,,113
借りる,,kenjo,お借りする,,false,,114
借りる,,kenjo,お借りいたす,,false,,115
借りる,,kenjo1,拝借する,,true,,116
承諾する,,sonkei,ご承諾になる,,false,,117
承諾する,,sonkei,承諾される,,false,,118
承諾する,,sonkei,(ご)承諾なさる,,false,,119
承諾する,,sonkei,ご承諾くださる,,false,,120
承諾する,,kenjo,かしこまる,,false,,121
承諾する,,kenjo,承諾いたす,,false,,122
承諾する,,kenjo,承諾申し上げる,,false,,123
承諾する,,kenjo,承諾させていただく,,false,,124
来る,,sonkei,来られる,,true,,125
くれる,,sonkei,くださる,,true,,126
読む,,sonkei,読まれる,,true,,127
飲む,,sonkei,召し上がる,,true,,128
出かける,,sonkei,お出かけになる,,true,,129
利用する,,sonkei,利用される,,true,,130
出席する,,sonkei,ご出席になる,,true,,131
始める,,sonkei,始められる,,true,,132
寝る,,sonkei,お休みになる,,true,,133
たずねる,,kenjo1,うかがう,,true,,134
あげる,,kenjo1,差し上げる,,true,,135
届ける,,kenjo1,お届けする,,true,,136
誘う,,kenjo1,お誘いする,,true,,137
案内する,,kenjo1,ご案内する,,true,,138
説明する,,kenjo1,ご説明する,,true,,139
推察する,,kenjo,拝察する,,true,,140
する,,teinei,します,,false,,141
言う,,teinei,言います,,false,,142
行く,,teinei,行きます,,false,,143
来る,,teinei,来ます,,false,,144
知っている,,teinei,知っています,,false,,145
食べる,,teinei,食べます,,false,,146
いる,,teinei,います,,false,,147
いる,,teinei,おります,,false,,148
見る,,teinei,見ます,,false,,149
見せる,,teinei,見せます,,false,,150
聞く,,teinei,聞きます,,false,,151
聞かせる,,teinei,聞かせます,,false,,152
読む,,teinei,読みます,,false,,153
座る,,teinei,座ります,,false,,154
会う,,teinei,会います,,false,,155
伝える,,teinei,伝えます,,false,,156
訪ねる,,teinei,訪ねます,,false,,157
わかる,,teinei,わかりました,,false,,158
受け取る,,teinei,受け取ります,,false,,159
利用する,,teinei,利用します,,false,,160
思う,,teinei,思います,,false,,161
買う,,teinei,買います,,false,,162
考える,,teinei,考えます,,false,,163
待つ,,teinei,待ちます,,false,,164
帰る,,teinei,帰ります,,false,,165
与える,,teinei,与えます,,false,,166
もらう,,teinei,もらいます,,false,,167
気に入る,,teinei,気に入ります,,false,,168
風邪を引く,,teinei,風邪を引きます,,false,,169
風呂にはいる,,teinei,風呂にはいります,,false,,170
年をとる,,teinei,年をとります,,false,,171
着る,,teinei,着ます,,false,,172
確認する,,teinei,確認します,,false,,173
借りる,,teinei,借ります,,false,,174
承諾する,,teinei,承諾します,,false,,175
