pattern__code,sentence_jp,sentence_vi,speaker,is_correct,pair_group,display_order
kenjo-temairu,私どもは全てのお客様にご満足いただけるようにこれからも努力を継続して参ります。,,,true,,3
kenjo-temairu,暖かくなってまいりましたが、いかがお過ごしでしょうか。,,,true,,4
kenjo-ome-ni-kakaru,長いことご無沙汰しておりましたが、いかがお過ごしでしょうか。度お目にかかりたいと思っておりますが、 なかなか時間がなく、失礼しております。,,,true,,1
kenjo-ome-ni-kakaru,この話は私が社長にお目にかかった時に、 ゆっくりご説明致します。,,,true,,2
kenjo-ome-ni-kakaru,あのう、山田と申しますが、 松本部長にお目にかかりたいのですが。,,客,true,1,3
kenjo-ome-ni-kakaru,はい、少々お待ちください。,,係員,true,1,4
kenjo-ome-ni-kakeru,最近手に入れた珍しい切手がありますので、ぜひお目にかけたく存じます。,,,true,,1
kenjo-ome-ni-kakeru,見苦しいところをお目にかけて大変失礼致しました。,,A,true,1,2
kenjo-ome-ni-kakeru,いいえ、お互い様でございます。 どうぞお気になさいませんように。,,B,true,1,3
kenjo-ome-ni-kakeru,これから展覧室にお越しになって、 私たちの作品をお目にかけましょうか。,,,true,,4
kenjo-ome-ni-kakeru,社長にお目にかけるような{骨董品|こっとうひん}ではございません,,,true,,5
kenjo-goran-ni-ireru,新製品の実物をご覧に入れた方がお分かりになりやすいかと存じます。,,,true,,1
kenjo-goran-ni-ireru,残念ながら、今日は霧が深いため、 富士山をご覧に入れることができません。,,,true,,2
sonkei-o-go-nasaru,ご利用なさいますか？,,,true,,3
sonkei-o-go-da,お待ちです。,,,true,,5
sonkei-de-irassharu,お元気でいらっしゃる,,,true,,3
kenjo-o-go-moushiageru,ご報告申し上げます。,,,true,,2
kenjo-o-go-itadaku,お待ちいただきます。,,,true,,2
teinei-u-gozaimasu,朝夕はまだまだお寒うございますが、くれぐれもお体にはお気をつけくださいませ。,,,true,,1
teinei-u-gozaimasu,こちらのワイシャツのほうが少しお高うございます。,,,true,,2
teinei-u-gozaimasu,東大合格して、おめでとうございます。,,A,true,1,3
teinei-u-gozaimasu,ありがとうございます。,,B,true,1,4
teinei-u-gozaimasu,今日の披露宴に、大勢の親友が来てくださって本当に嬉しゅうございます。,,,true,,5
juju-te-kudasai,Ｂさん、時間ありますか。,,A,true,1,1
juju-te-kudasai,ええ。,,B,true,1,2
juju-te-kudasai,じゃ、ちょっとこれ、手伝ってください。,,A,true,1,3
juju-te-agete-yatte-kudasai,Ｂさん、時間ありますか。,,A,true,1,1
juju-te-agete-yatte-kudasai,ええ。,,B,true,1,2
juju-te-agete-yatte-kudasai,Ｃさんが忙しそうなので、手伝ってあげてください。,,A,true,1,3
juju-te-moratte-kudasai,（あなたは）Ｃさんに荷物を持ってくれるよう依頼してください。,,,true,,1
juju-te-moratte-kudasai,（あなたは）Ｃさんに荷物を持ってもらってください。,,,true,,2
juju-te-kureru-temorau,私は先生に教えてもらう。,,,true,,1
juju-te-kureru-temorau,先生は私に教えてくれる。,,,true,,2
juju-te-morau-te-itadaku,教えていただけますでしょうか。,,,true,,1
juju-sasete-morau-itadaku,使用させていただきます。,,,true,,1
sonkei-ni-naru,お食べになります。,,,true,,1
sonkei-ni-naru,ご説明になります。,,,true,,2
sonkei-kudasaru-kudasai,お食べください。,,,true,,1
sonkei-kudasaru-kudasai,ご注意ください。,,,true,,2
sonkei-reru-rareru,中田先生がこの本を書かれました。,,,true,,1
sonkei-reru-rareru,あの方は東京駅で降りられます。,,,true,,2
sonkei-keishou,あちらは山田様です。,,,true,,1
sonkei-o-go-ki-on,あなたのお仕事は何ですか。,,,true,,1
sonkei-o-go-ki-on,ご家族はどちらにいらっしゃいますか。,,,true,,2
kenjo-o-go-suru-itasu,お持ちします。,,,true,,1
kenjo-o-go-suru-itasu,ご説明します。,,,true,,2
kenjo-o-go-suru-itasu,係員がご案内します。,,,true,,3
kenjo-o-go-sasete-itadakimasu,工場内をご案内させていただきます。,,,true,,1
kenjo-settoji-o-go-so-hei,お知らせ,,,true,,1
kenjo-settoji-o-go-so-hei,粗品,,,true,,2
kenjo-settoji-o-go-so-hei,会社→弊社,,,true,,3
kenjo-domo-me,私ども,,,true,,1
kenjo-domo-me,私め,,,true,,2
